Class,Section,Term,Size,GPA,A%,B%,C%,D%,F%,W%,Teacher
CSE 6250,O01,Fall 2018,Very Large (>50 students),3.57,46.6,16.8,0.5,0,2.6,33.5,Jimeng Sun
CSE 6250,OAN,Fall 2018,Mid-Size (21-30 students),3.94,71.4,4.8,0,0,0,23.8,Jimeng Sun
CSE 6250,O01,Fall 2019,Very Large (>50 students),3.59,47.9,18.2,0.4,0,2.3,31.2,Jimeng Sun
CSE 6250,OAN,Fall 2019,Large (31-49 students),3.52,44.1,20.6,0,0,2.9,32.4,Jimeng Sun
CSE 6250,O01,Fall 2020,Very Large (>50 students),3.65,56.2,17.4,1.2,0,1.6,23.6,Jimeng Sun
CSE 6250,OAN,Fall 2020,Very Large (>50 students),3.77,70.3,14.1,3.1,0,0,12.5,Jimeng Sun
CSE 6250,A,Spring 2017,Mid-Size (21-30 students),4,72.4,0,0,0,0,10.3,Jimeng Sun
CSE 6250,O01,Spring 2017,Very Large (>50 students),3.81,59.3,3.5,4.6,0,0,32.6,Jimeng Sun
CSE 6250,A,Spring 2018,Very Large (>50 students),3.78,68.5,19.2,0,0,0,5.5,Jimeng Sun
CSE 6250,O01,Spring 2018,Very Large (>50 students),3.54,50.6,12,2.4,0,3.6,31.3,Jimeng Sun
CSE 6250,A,Spring 2019,Very Large (>50 students),3.77,72.9,13.6,3.4,0,0,8.5,Jimeng Sun
CSE 6250,O01,Spring 2019,Very Large (>50 students),3.69,59.1,8.8,5,0,1.1,26,Jimeng Sun
CSE 6250,OAN,Spring 2019,Large (31-49 students),3.74,48.4,9.7,3.2,0,0,38.7,Jimeng Sun
CSE 6250,A,Spring 2020,Large (31-49 students),3.92,79.1,7,0,0,0,11.6,Jimeng Sun
CSE 6250,O01,Spring 2020,Very Large (>50 students),3.84,56.5,5,0.8,0,0.8,36.8,Jimeng Sun
CSE 6250,OAN,Spring 2020,Large (31-49 students),3.95,58.1,3.2,0,0,0,38.7,Jimeng Sun
CSE 6250,O01,Spring 2021,Very Large (>50 students),3.59,59.7,13.7,2.2,0,3.6,20.9,Jimeng Sun
CSE 6250,OAN,Spring 2021,Very Large (>50 students),3.56,60,14.6,3.6,0,3.6,18.2,Jimeng Sun
CSE 6242,A,Fall 2014,Very Large (>50 students),3.94,91,2,2,0,0,5,Deunhorng Chau
CSE 6242,Q,Fall 2014,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,Q3,Fall 2014,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Fall 2015,Very Large (>50 students),3.8,77.5,5,2.5,2.5,0,10.8,Deunhorng Chau
CSE 6242,Q,Fall 2015,Very Small (<10 students),3.8,57.1,14.3,0,0,0,28.6,Deunhorng Chau
CSE 6242,Q3,Fall 2015,Very Small (<10 students),4,66.7,0,0,0,0,33.3,Deunhorng Chau
CSE 6242,A,Fall 2016,Very Large (>50 students),3.89,85.6,5.3,1.6,0.5,0,4.3,Deunhorng Chau
CSE 6242,Q,Fall 2016,Very Small (<10 students),3.33,71.4,0,0,0,14.3,14.3,Deunhorng Chau
CSE 6242,A,Fall 2017,Very Large (>50 students),3.89,91.4,2.6,1.3,1.3,0.4,3,Deunhorng Chau
CSE 6242,Q,Fall 2017,Very Small (<10 students),4,83.3,0,0,0,0,16.7,Deunhorng Chau
CSE 6242,A,Fall 2018,Very Large (>50 students),3.95,92.3,2.4,1.4,0,0,3.8,Deunhorng Chau
CSE 6242,O01,Fall 2018,Very Large (>50 students),3.89,77.8,4.4,0.3,1,0.3,16.3,Deunhorng Chau
CSE 6242,O3,Fall 2018,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,OAN,Fall 2018,Very Large (>50 students),3.82,76.8,8.4,2.1,0,0.7,12,Deunhorng Chau
CSE 6242,Q,Fall 2018,Very Small (<10 students),4,75,0,0,0,0,25,Deunhorng Chau
CSE 6242,A,Fall 2019,Very Large (>50 students),3.96,91.9,2.3,0,0.4,0,5.4,Deunhorng Chau
CSE 6242,O01,Fall 2019,Very Large (>50 students),3.9,74.7,3.1,0.8,0.5,0.5,20.4,Deunhorng Chau
CSE 6242,O3,Fall 2019,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,OAN,Fall 2019,Very Large (>50 students),3.84,70.2,7.6,0.8,0.8,0.3,20.2,Deunhorng Chau
CSE 6242,Q,Fall 2019,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Fall 2020,Very Large (>50 students),3.93,86.2,3.7,0,0.9,0,9.2,Deunhorng Chau
CSE 6242,A,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,O01,Fall 2020,Very Large (>50 students),3.95,83.8,2.9,0.4,0,0.2,12.7,Deunhorng Chau
CSE 6242,O3,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,OAN,Fall 2020,Very Large (>50 students),3.83,77.5,7.2,0.3,0.7,1.2,13.1,Deunhorng Chau
CSE 6242,Q,Fall 2020,Very Small (<10 students),4,50,0,0,0,0,50,Deunhorng Chau
CSE 6242,R,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2013,Large (31-49 students),3.87,90.9,0,0,0,3,3,Deunhorng Chau
CSE 6242,A,Spring 2014,Very Large (>50 students),4,91.2,0,0,0,0,5.9,Deunhorng Chau
CSE 6242,Q3,Spring 2014,Small (10-20 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2015,Very Large (>50 students),3.82,80.5,12.6,2.3,0,0,1.2,Deunhorng Chau
CSE 6242,Q,Spring 2015,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,Q3,Spring 2015,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2016,Very Large (>50 students),3.87,83.9,10.3,0,0.6,0,5.2,Deunhorng Chau
CSE 6242,Q,Spring 2016,Very Small (<10 students),3.71,85.7,0,14.3,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2017,Very Large (>50 students),3.96,90.7,0.6,0.6,0.6,0,4.4,Deunhorng Chau
CSE 6242,Q,Spring 2017,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2018,Very Large (>50 students),3.82,80.8,7.7,3.2,0,0.6,7.7,Deunhorng Chau
CSE 6242,OAN,Spring 2018,Very Large (>50 students),3.91,81,4,2,0,0,13,Deunhorng Chau
CSE 6242,Q,Spring 2018,Very Small (<10 students),3.78,88.9,0,11.1,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2019,Very Large (>50 students),3.92,90.3,2,1.3,0,0.6,5.8,Deunhorng Chau
CSE 6242,O01,Spring 2019,Very Large (>50 students),3.81,78.1,3.9,2.6,0.8,1.3,13.4,Deunhorng Chau
CSE 6242,OAN,Spring 2019,Very Large (>50 students),3.87,85.5,3.6,1.3,0.3,1.3,8.1,Deunhorng Chau
CSE 6242,Q,Spring 2019,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2020,Very Large (>50 students),3.93,85.8,4.7,0.7,0,0,8.1,Deunhorng Chau
CSE 6242,A,Spring 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,O01,Spring 2020,Very Large (>50 students),3.93,79.2,2.6,1.6,0,0,16.6,Deunhorng Chau
CSE 6242,O3,Spring 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,OAN,Spring 2020,Very Large (>50 students),3.91,79.8,5.4,0.9,0.2,0,13.7,Deunhorng Chau
CSE 6242,Q,Spring 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,QSZ,Spring 2020,Very Small (<10 students),4,88.9,0,0,0,0,11.1,Deunhorng Chau
CSE 6242,A,Spring 2021,Very Large (>50 students),3.92,86.3,3.8,0.8,0.8,0,7.6,Deunhorng Chau
CSE 6242,A,Spring 2021,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,O01,Spring 2021,Very Large (>50 students),3.81,76.8,3.8,1.2,0.6,2,15.4,Deunhorng Chau
CSE 6242,O3,Spring 2021,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,OAN,Spring 2021,Very Large (>50 students),3.82,80.5,8,1.5,0.4,1,8.6,Deunhorng Chau
CSE 6242,Q,Spring 2021,Very Small (<10 students),3.5,50,50,0,0,0,0,Deunhorng Chau
CSE 6242,R,Spring 2021,Very Small (<10 students),3,50,0,50,0,0,0,Deunhorng Chau
ISYE 6420,O01,Fall 2019,Very Large (>50 students),3.95,79.8,4,0,0,0,15.2,Roshan Joseph
ISYE 6420,OAN,Fall 2019,Very Large (>50 students),3.81,66.8,8.4,0,0,1.6,22.1,Roshan Joseph
ISYE 6420,A,Fall 2020,Small (10-20 students),3.92,80,6.7,0,0,0,0,Roshan Joseph
ISYE 6420,O01,Fall 2020,Very Large (>50 students),3.88,77.9,5.5,1.1,0.4,0.4,14.8,Roshan Joseph
ISYE 6420,OAN,Fall 2020,Very Large (>50 students),3.83,73.7,9.2,0.9,0.4,0.4,15.4,Roshan Joseph
ISYE 6420,QS,Fall 2020,Very Small (<10 students),3,0,100,0,0,0,0,Roshan Joseph
ISYE 6420,A,Spring 2011,Large (31-49 students),3.2,31.2,12.5,18.8,0,0,12.5,Roshan Joseph
ISYE 6420,A,Spring 2012,Large (31-49 students),3.19,25.8,29,12.9,0,0,12.9,Roshan Joseph
ISYE 6420,A,Spring 2017,Large (31-49 students),3.46,41.2,20.6,8.8,0,0,8.8,Roshan Joseph
ISYE 6420,A,Spring 2019,Large (31-49 students),3.46,46.9,25,9.4,0,0,18.8,Roshan Joseph
ISYE 6420,MSA,Spring 2019,Mid-Size (21-30 students),3.58,58.3,41.7,0,0,0,0,Roshan Joseph
ISYE 6420,OAN,Spring 2019,Very Large (>50 students),3.74,67.3,11.5,1.9,1.9,0,17.3,Roshan Joseph
ISYE 6420,A,Spring 2020,Large (31-49 students),3.71,45.4,18.2,0,0,0,18.2,Roshan Joseph
ISYE 6420,A,Spring 2020,Very Small (<10 students),3,0,100,0,0,0,0,Roshan Joseph
ISYE 6420,MSA,Spring 2020,Small (10-20 students),3.9,81.8,9.1,0,0,0,9.1,Roshan Joseph
ISYE 6420,O01,Spring 2020,Very Large (>50 students),3.98,80.5,1,0.5,0,0,18,Roshan Joseph
ISYE 6420,OAN,Spring 2020,Very Large (>50 students),3.93,84.2,2,0,0,1,12.9,Roshan Joseph
ISYE 6420,O01,Spring 2021,Very Large (>50 students),3.59,52.8,18.6,4.2,0,1,23.3,Roshan Joseph
ISYE 6420,OAN,Spring 2021,Very Large (>50 students),3.55,52.4,24.6,5.8,0.5,0,16.8,Roshan Joseph
ISYE 6501,MSA,Fall 2017,Very Large (>50 students),3.64,61.1,34.7,0,0,0,4.2,Joel Sokol
ISYE 6501,OAN,Fall 2017,Very Large (>50 students),3.46,46.7,40.9,2.9,0,0.7,8.8,Joel Sokol
ISYE 6501,MSA,Fall 2018,Very Large (>50 students),3.71,68.7,27.7,0,0,0,1.2,Joel Sokol
ISYE 6501,OAN,Fall 2018,Very Large (>50 students),3.27,41.2,40.9,2.8,0.2,4.6,10.4,Joel Sokol
ISYE 6501,MSA,Fall 2019,Very Large (>50 students),3.72,70.3,25.3,1.1,0,0,3.3,Joel Sokol
ISYE 6501,OAN,Fall 2019,Very Large (>50 students),3.27,37,41.1,5,0.4,2.7,12.8,Joel Sokol
ISYE 6501,MSA,Fall 2020,Very Large (>50 students),3.56,52.5,36.1,1.6,0,0,0,Joel Sokol
ISYE 6501,MSA,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Joel Sokol
ISYE 6501,O01,Fall 2020,Very Large (>50 students),3.47,41.6,38.2,1.7,0.6,0,17.9,Joel Sokol
ISYE 6501,OAN,Fall 2020,Very Large (>50 students),3.26,39.2,38.3,6,1.1,2.7,12.2,Joel Sokol
ISYE 6501,QS,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Joel Sokol
ISYE 6501,OAN,Spring 2018,Very Large (>50 students),3.39,48.8,38.9,1.3,0,3.6,7.3,Joel Sokol
ISYE 6501,OAN,Spring 2019,Very Large (>50 students),3.32,43,39.4,2.9,0.2,3.6,11,Joel Sokol
ISYE 6501,O01,Spring 2020,Very Large (>50 students),3.46,44.7,41.4,2.5,0,0.4,10.7,Joel Sokol
ISYE 6501,OAN,Spring 2020,Very Large (>50 students),3.33,36.7,39.8,3,0.2,2.2,17.6,Joel Sokol
ISYE 6501,Q,Spring 2020,Very Small (<10 students),3,0,100,0,0,0,0,Joel Sokol
ISYE 6501,MSA,Spring 2021,Small (10-20 students),3.86,92.9,0,7.1,0,0,0,Joel Sokol
ISYE 6501,O01,Spring 2021,Very Large (>50 students),3.43,52.2,32.5,0.6,0.6,3.8,10.2,Joel Sokol
ISYE 6501,OAN,Spring 2021,Very Large (>50 students),3.37,43.6,35.2,3.5,0.2,2.6,13.6,Joel Sokol
ISYE 6501,OAN,Summer 2018,Very Large (>50 students),3.55,53.2,39.2,1.3,0,0,6.3,Joel Sokol
ISYE 6501,OAN,Summer 2019,Very Large (>50 students),3.42,43.5,40.9,2.6,0,1.3,11.7,Joel Sokol
ISYE 6501,O01,Summer 2020,Very Large (>50 students),3.42,45,45,2.2,0,1.1,6.6,Joel Sokol
ISYE 6501,OAN,Summer 2020,Very Large (>50 students),3.33,43,37.3,4.1,0.8,2.9,11.5,Joel Sokol
CSE 6242,A,Fall 2014,Very Large (>50 students),3.94,91,2,2,0,0,5,Deunhorng Chau
CSE 6242,Q,Fall 2014,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,Q3,Fall 2014,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Fall 2015,Very Large (>50 students),3.8,77.5,5,2.5,2.5,0,10.8,Deunhorng Chau
CSE 6242,Q,Fall 2015,Very Small (<10 students),3.8,57.1,14.3,0,0,0,28.6,Deunhorng Chau
CSE 6242,Q3,Fall 2015,Very Small (<10 students),4,66.7,0,0,0,0,33.3,Deunhorng Chau
CSE 6242,A,Fall 2016,Very Large (>50 students),3.89,85.6,5.3,1.6,0.5,0,4.3,Deunhorng Chau
CSE 6242,Q,Fall 2016,Very Small (<10 students),3.33,71.4,0,0,0,14.3,14.3,Deunhorng Chau
CSE 6242,A,Fall 2017,Very Large (>50 students),3.89,91.4,2.6,1.3,1.3,0.4,3,Deunhorng Chau
CSE 6242,Q,Fall 2017,Very Small (<10 students),4,83.3,0,0,0,0,16.7,Deunhorng Chau
CSE 6242,A,Fall 2018,Very Large (>50 students),3.95,92.3,2.4,1.4,0,0,3.8,Deunhorng Chau
CSE 6242,O01,Fall 2018,Very Large (>50 students),3.89,77.8,4.4,0.3,1,0.3,16.3,Deunhorng Chau
CSE 6242,O3,Fall 2018,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,OAN,Fall 2018,Very Large (>50 students),3.82,76.8,8.4,2.1,0,0.7,12,Deunhorng Chau
CSE 6242,Q,Fall 2018,Very Small (<10 students),4,75,0,0,0,0,25,Deunhorng Chau
CSE 6242,A,Fall 2019,Very Large (>50 students),3.96,91.9,2.3,0,0.4,0,5.4,Deunhorng Chau
CSE 6242,O01,Fall 2019,Very Large (>50 students),3.9,74.7,3.1,0.8,0.5,0.5,20.4,Deunhorng Chau
CSE 6242,O3,Fall 2019,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,OAN,Fall 2019,Very Large (>50 students),3.84,70.2,7.6,0.8,0.8,0.3,20.2,Deunhorng Chau
CSE 6242,Q,Fall 2019,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Fall 2020,Very Large (>50 students),3.93,86.2,3.7,0,0.9,0,9.2,Deunhorng Chau
CSE 6242,A,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,O01,Fall 2020,Very Large (>50 students),3.95,83.8,2.9,0.4,0,0.2,12.7,Deunhorng Chau
CSE 6242,O3,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,OAN,Fall 2020,Very Large (>50 students),3.83,77.5,7.2,0.3,0.7,1.2,13.1,Deunhorng Chau
CSE 6242,Q,Fall 2020,Very Small (<10 students),4,50,0,0,0,0,50,Deunhorng Chau
CSE 6242,R,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2013,Large (31-49 students),3.87,90.9,0,0,0,3,3,Deunhorng Chau
CSE 6242,A,Spring 2014,Very Large (>50 students),4,91.2,0,0,0,0,5.9,Deunhorng Chau
CSE 6242,Q3,Spring 2014,Small (10-20 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2015,Very Large (>50 students),3.82,80.5,12.6,2.3,0,0,1.2,Deunhorng Chau
CSE 6242,Q,Spring 2015,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,Q3,Spring 2015,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2016,Very Large (>50 students),3.87,83.9,10.3,0,0.6,0,5.2,Deunhorng Chau
CSE 6242,Q,Spring 2016,Very Small (<10 students),3.71,85.7,0,14.3,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2017,Very Large (>50 students),3.96,90.7,0.6,0.6,0.6,0,4.4,Deunhorng Chau
CSE 6242,Q,Spring 2017,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2018,Very Large (>50 students),3.82,80.8,7.7,3.2,0,0.6,7.7,Deunhorng Chau
CSE 6242,OAN,Spring 2018,Very Large (>50 students),3.91,81,4,2,0,0,13,Deunhorng Chau
CSE 6242,Q,Spring 2018,Very Small (<10 students),3.78,88.9,0,11.1,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2019,Very Large (>50 students),3.92,90.3,2,1.3,0,0.6,5.8,Deunhorng Chau
CSE 6242,O01,Spring 2019,Very Large (>50 students),3.81,78.1,3.9,2.6,0.8,1.3,13.4,Deunhorng Chau
CSE 6242,OAN,Spring 2019,Very Large (>50 students),3.87,85.5,3.6,1.3,0.3,1.3,8.1,Deunhorng Chau
CSE 6242,Q,Spring 2019,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,A,Spring 2020,Very Large (>50 students),3.93,85.8,4.7,0.7,0,0,8.1,Deunhorng Chau
CSE 6242,A,Spring 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,O01,Spring 2020,Very Large (>50 students),3.93,79.2,2.6,1.6,0,0,16.6,Deunhorng Chau
CSE 6242,O3,Spring 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,OAN,Spring 2020,Very Large (>50 students),3.91,79.8,5.4,0.9,0.2,0,13.7,Deunhorng Chau
CSE 6242,Q,Spring 2020,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,QSZ,Spring 2020,Very Small (<10 students),4,88.9,0,0,0,0,11.1,Deunhorng Chau
CSE 6242,A,Spring 2021,Very Large (>50 students),3.92,86.3,3.8,0.8,0.8,0,7.6,Deunhorng Chau
CSE 6242,A,Spring 2021,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,O01,Spring 2021,Very Large (>50 students),3.81,76.8,3.8,1.2,0.6,2,15.4,Deunhorng Chau
CSE 6242,O3,Spring 2021,Very Small (<10 students),4,100,0,0,0,0,0,Deunhorng Chau
CSE 6242,OAN,Spring 2021,Very Large (>50 students),3.82,80.5,8,1.5,0.4,1,8.6,Deunhorng Chau
CSE 6242,Q,Spring 2021,Very Small (<10 students),3.5,50,50,0,0,0,0,Deunhorng Chau
CSE 6242,R,Spring 2021,Very Small (<10 students),3,50,0,50,0,0,0,Deunhorng Chau
ISYE 6402,OAN,Fall 2018,Very Large (>50 students),3.19,35.6,30.5,8.5,3.4,1.7,20.3,Nicoleta Serban
ISYE 6402,O01,Fall 2019,Very Large (>50 students),3.34,31.2,37.5,3.8,1.2,0,25,Nicoleta Serban
ISYE 6402,OAN,Fall 2019,Very Large (>50 students),3.24,30.9,39.7,7.4,0,1.5,20.6,Nicoleta Serban
ISYE 6402,A,Fall 2020,Small (10-20 students),3.67,60,30,0,0,0,10,Nicoleta Serban
ISYE 6402,O01,Fall 2020,Mid-size (21-30 students),2.76,29.6,11.1,7.4,7.4,7.4,37,Nicoleta Serban
ISYE 6402,OAN,Fall 2020,Very Large (>50 students),3.33,37,32.6,8.7,0,0.7,20.3,Nicoleta Serban
ISYE 6402,QS,Fall 2020,Very Small (<10 students),2,0,0,100,0,0,0,Nicoleta Serban
ISYE 6402,A,Spring 2011,Large (31-49 students),3.42,33.3,28.2,5.1,0,0,12.8,Nicoleta Serban
ISYE 6402,A,Spring 2018,Large (31-49 students),3.46,39.4,45.4,0,0,0,0,Nicoleta Serban
ISYE 6402,MSA,Spring 2018,Mid-Size (21-30 students),3.64,63,25.9,3.7,0,0,3.7,Nicoleta Serban
ISYE 6402,OAN,Spring 2018,Mid-Size (21-30 students),3.6,46.2,30.8,0,0,0,23.1,Nicoleta Serban
ISYE 6402,OAN,Spring 2019,Very Large (>50 students),3.28,40,31.8,9.4,0,2.4,16.5,Nicoleta Serban
ISYE 6402,O01,Spring 2020,Large (31-49 students),3.73,50,11.8,2.9,0,0,35.3,Nicoleta Serban
ISYE 6402,OAN,Spring 2020,Very Large (>50 students),3.29,44.9,29.5,7.7,3.8,1.3,12.8,Nicoleta Serban
ISYE 6402,O01,Spring 2021,Small (10-20 students),3.2,29.4,23.5,0,0,5.9,41.2,Nicoleta Serban
ISYE 6402,OAN,Spring 2021,Very Large (>50 students),3.15,35.6,34.2,6,5.4,2,16.8,Nicoleta Serban
CS 7643,O01,Fall 2020,Very Large (>50 students),3.77,69.8,9.4,4,0.7,0,14.1,Zsolt Kira
CS 7643,R,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Zsolt Kira
CS 7643,A,Spring 2019,Very Large (>50 students),3.73,75.6,15.4,2.6,0,1.3,5.1,Zsolt Kira
CS 7643,A,Spring 2020,Very Large (>50 students),3.81,73.6,13,1,0.5,0,10.4,Zsolt Kira
CS 7643,A,Spring 2020,Small (10-20 students),3.82,83.3,0,8.3,0,0,8.3,Zsolt Kira
CS 7643,A,Spring 2021,Very Large (>50 students),3.83,84.5,7.8,0.9,0,1.7,5.2,Zsolt Kira
CS 7643,A,Spring 2021,Small (10-20 students),3.83,71.4,14.3,0,0,0,14.3,Zsolt Kira
CS 7643,O01,Spring 2021,Very Large (>50 students),3.68,61.5,20.1,2.4,0.2,0.4,14.7,Zsolt Kira
CS 7643,OAN,Spring 2021,Large (31-49 students),3.79,71.4,14.3,2,0,0,10.2,Zsolt Kira
CS 7643,R,Spring 2021,Very Small (<10 students),3.5,62.5,25,12.5,0,0,0,Zsolt Kira
CS 7637,A,Fall 2011,Small (10-20 students),3.58,75,10,5,0,5,0,Ashok Goel
CS 7637,A,Fall 2012,Small (10-20 students),3.79,76.5,0,0,5.9,0,17.6,Ashok Goel
CS 7637,A,Fall 2013,Small (10-20 students),3.75,68.4,10.5,5.3,0,0,10.5,Ashok Goel
CS 7637,A,Fall 2014,Large (31-49 students),4,91.2,0,0,0,0,5.9,Ashok Goel
CS 7637,O01,Fall 2014,Very Large (>50 students),3.74,70.4,12.8,2,0,1.5,13.3,Ashok Goel
CS 7637,A,Fall 2015,Large (31-49 students),3.9,90.7,0,4.6,0,0,4.6,Ashok Goel
CS 7637,O01,Fall 2015,Very Large (>50 students),3.64,62.5,9.5,3.9,1.3,1.7,21.1,Ashok Goel
CS 7637,A,Fall 2016,Large (31-49 students),3.88,77.8,11.1,0,0,0,11.1,Ashok Goel
CS 7637,O01,Fall 2016,Very Large (>50 students),3.53,59,13.8,2,1.2,4,20.1,Ashok Goel
CS 7637,A,Fall 2017,Large (31-49 students),3.78,71,12.9,3.2,0,0,12.9,Ashok Goel
CS 7637,O01,Fall 2017,Very Large (>50 students),3.6,55.1,15.1,3.3,0.6,1.8,24.1,Ashok Goel
CS 7637,A,Fall 2018,Large (31-49 students),3.83,79.2,16.7,0,0,0,2.1,Ashok Goel
CS 7637,O1,Fall 2018,Small (10-20 students),3.73,61.5,23.1,0,0,0,15.4,Ashok Goel
CS 7637,A,Fall 2019,Mid-Size (21-30 students),3.96,81.5,3.7,0,0,0,11.1,Ashok Goel
CS 7637,O1,Fall 2019,Very Small (<10 students),3.5,20,20,0,0,0,60,Ashok Goel
CS 7637,O01,Spring 2015,Very Large (>50 students),3.67,61.8,12.4,3.4,0.8,1.1,20.6,Ashok Goel
CS 7637,O01,Spring 2016,Very Large (>50 students),3.51,56.3,13.9,4.3,1,3.3,21.2,Ashok Goel
CS 7637,O01,Spring 2017,Very Large (>50 students),3.54,54.8,11.7,1,0.5,4.6,27.4,Ashok Goel
CS 7637,O01,Spring 2018,Very Large (>50 students),3.64,59.2,10.4,3,1.2,1.8,24.6,Ashok Goel
CS 7643,A,Fall 2017,Very Large (>50 students),3.81,78.3,18.3,0,0,0,3.3,Dhruv Batra
CS 7643,A,Fall 2018,Very Large (>50 students),3.84,83.7,10.5,2.3,0,0,3.5,Dhruv Batra
CS 7643,A,Fall 2019,Very Large (>50 students),3.87,86.3,3,1.2,0.6,1.2,7.7,Dhruv Batra
CS 7643,A,Fall 2020,Very Large (>50 students),3.89,84.8,5.9,0.8,0.8,0,7.6,Dhruv Batra
CS 7280,A,Fall 2016,Mid-Size (21-30 students),3.96,81.5,3.7,0,0,0,11.1,Konstantinos Dovrolis
CS 7280,A,Fall 2017,Large (31-49 students),3.75,65.6,21.9,0,0,0,9.4,Konstantinos Dovrolis
CS 7280,A,Fall 2019,Large (31-49 students),3.98,87.5,2.1,0,0,0,2.1,Konstantinos Dovrolis
CS 7280,A,Fall 2020,Very Large (>50 students),3.98,86.3,2,0,0,0,9.8,Konstantinos Dovrolis
CS 7280,O01,Spring 2021,Very Large (>50 students),3.68,62.5,14.2,1.7,1.7,0.8,19.2,Konstantinos Dovrolis
CS 6210,A,Fall 2019,Very Large (>50 students),3.58,46,23.8,0,0,1.6,19,Ada Gavrilovska
